,UNITID,INSTNM,CITY,STABBR,ZIP,ADM_RATE,UGDS,TUITIONFEE_IN,MN_EARN_WNE_P10
3166,216463,Trinity Episcopal School for Ministry,Ambridge,PA,15003-2397,,,,
3167,216524,Ursinus College,Collegeville,PA,19426-1000,0.7821,1485.0,50360.0,
3168,216542,University of Valley Forge,Phoenixville,PA,19460-2373,0.5412,669.0,21370.0,
3169,216551,Valley Forge Military College,Wayne,PA,19087-3695,,265.0,29975.0,
3170,216579,Venus Beauty Academy,Sharon Hill,PA,19079,,112.0,,
3171,216597,Villanova University,Villanova,PA,19085-1699,0.36,6886.0,51284.0,
3172,216630,Washington Hospital School of Nursing,Washington,PA,15301,,49.0,,
3173,216649,Washington Hospital School of Radiologic Technology,Washington,PA,15301,,13.0,11600.0,
3174,216667,Washington & Jefferson College,Washington,PA,15301,0.4785,1378.0,46628.0,
3175,216694,Waynesburg University,Waynesburg,PA,15370-1257,0.9534,1371.0,24010.0,
3176,216746,Welder Training and Testing Institute,Allentown,PA,18109-3253,,72.0,,
3177,216764,West Chester University of Pennsylvania,West Chester,PA,19383,0.685,14223.0,10111.0,
3178,216773,Western Pennsylvania Hospital School of Nursing,Pittsburgh,PA,15224,0.5769,107.0,9255.0,
3179,216782,Pittsburgh Career Institute,Pittsburgh,PA,15219-1907,,197.0,24919.0,
3180,216807,Westminster College,New Wilmington,PA,16172,0.7248,1174.0,36276.0,
3181,216816,Westminster Theological Seminary,Glenside,PA,19038,,,,
3182,216825,Westmoreland County Community College,Youngwood,PA,15697-1895,,4047.0,5190.0,
3183,216852,Widener University,Chester,PA,19013-5792,0.6543,3224.0,44166.0,
3184,216931,Wilkes University,Wilkes-Barre,PA,18766,0.7531,2379.0,34896.0,
3185,217013,Wilson College,Chambersburg,PA,17201-1285,0.5877,697.0,24452.0,
3186,217040,Yeshivath Beth Moshe,Scranton,PA,18505-2196,0.9167,34.0,9200.0,
3187,217059,York College of Pennsylvania,York,PA,17403-3651,0.6990000000000001,4079.0,19430.0,
3188,217077,YTI Career Institute-York,York,PA,17402,,1165.0,,
3627,231280,Paul Mitchell the School-Roanoke,Roanoke,VA,24015,,84.0,,
3628,231411,Advanced Technology Institute,Virginia Beach,VA,23462,0.7954,464.0,13250.0,
3629,231420,Averett University,Danville,VA,24541,0.6102,908.0,33350.0,
3630,231536,Blue Ridge Community College,Weyers Cave,VA,24486-0080,,3054.0,5252.0,
3631,231554,Bluefield College,Bluefield,VA,24605,0.9112,874.0,24800.0,
3632,231581,Bridgewater College,Bridgewater,VA,22812-1599,0.5198,1874.0,33820.0,
3633,231624,William & Mary,Williamsburg,VA,23187-8795,0.3592,6243.0,22044.0,
3634,231651,Regent University,Virginia Beach,VA,23464,0.7829999999999999,4087.0,17288.0,
3635,231688,Central School of Practical Nursing,Norfolk,VA,23502,,18.0,,
3636,231697,Central Virginia Community College,Lynchburg,VA,24502-2498,,2494.0,4726.0,
3637,231712,Christopher Newport University,Newport News,VA,23606-3072,0.7239,4950.0,13654.0,
3638,231721,Suffolk Beauty Academy,Suffolk,VA,23434-3020,,38.0,,
3639,231785,Bryant & Stratton College-Virginia Beach,Virginia Beach,VA,23462,,475.0,17624.0,
3640,231828,Bryant & Stratton College-Richmond,North Chesterfield,VA,23235,,590.0,17288.0,
3641,231837,Radford University-Carilion,Roanoke,VA,24013,0.3922,771.0,25850.0,
3642,231873,Dabney S Lancaster Community College,Clifton Forge,VA,24422-1000,,650.0,4613.0,
3643,231882,Danville Community College,Danville,VA,24541-4004,,1612.0,4598.0,
3644,231970,Eastern Virginia Medical School,Norfolk,VA,23507,,,,
3645,232016,Centura College-Virginia Beach,Virginia Beach,VA,23452-7431,,150.0,15887.0,
3646,232025,Emory & Henry College,Emory,VA,24327-0947,0.7223,977.0,33700.0,
3647,232043,Eastern Mennonite University,Harrisonburg,VA,22802-2462,0.5373,1089.0,35800.0,
3648,232052,Eastern Shore Community College,Melfa,VA,23410,,406.0,4688.0,
3649,232089,Ferrum College,Ferrum,VA,24088-9000,0.7193,1122.0,33025.0,
3650,232186,George Mason University,Fairfax,VA,22030-4444,0.8132,24395.0,11924.0,
3651,232195,Germanna Community College,Locust Grove,VA,22508-2102,,5020.0,4801.0,
3652,232256,Hampden-Sydney College,Hampden-Sydney,VA,23943-0128,0.5505,1046.0,43940.0,
3653,232265,Hampton University,Hampton,VA,23668-0099,0.36200000000000004,3786.0,25441.0,
3654,232308,Hollins University,Roanoke,VA,24020,0.4838,628.0,38285.0,
3655,232414,J Sargeant Reynolds Community College,Richmond,VA,23228-2327,,7343.0,4886.0,
3656,232423,James Madison University,Harrisonburg,VA,22807,0.752,19666.0,10830.0,
3657,232450,John Tyler Community College,Chester,VA,23831-5316,,6216.0,4608.0,
3658,232557,Liberty University,Lynchburg,VA,24515,0.2979,45364.0,21310.0,
3659,232566,Longwood University,Farmville,VA,23909,0.9183,4230.0,12720.0,
3660,232575,Lord Fairfax Community College,Middletown,VA,22645,,3947.0,4627.0,
3661,232609,University of Lynchburg,Lynchburg,VA,24501-3113,0.7455,1979.0,37690.0,
3662,232618,Centra College of Nursing,Lynchburg,VA,24501,,302.0,10528.0,
3663,232672,Mary Baldwin University,Staunton,VA,24401,0.9470000000000001,1058.0,31110.0,
3664,232681,University of Mary Washington,Fredericksburg,VA,22401-5300,0.735,4366.0,12128.0,
3665,232706,Marymount University,Arlington,VA,22207-4299,0.9226,2241.0,30876.0,
3666,232724,Sovah School of Health Professions,Danville,VA,24541,,11.0,,
3667,232788,Mountain Empire Community College,Big Stone Gap,VA,24219,,1543.0,4598.0,
3668,232797,American National University,Salem,VA,24153,,912.0,14886.0,
3669,232867,New River Community College,Dublin,VA,24084-3660,,2444.0,4585.0,
3670,232885,Sentara College of Health Sciences,Chesapeake,VA,23320,,440.0,,
3671,232919,Tidewater Tech-Trades,Norfolk,VA,23502,,359.0,15401.0,
3672,232937,Norfolk State University,Norfolk,VA,23504-8000,0.9013,4643.0,9036.0,
3673,232946,Northern Virginia Community College,Annandale,VA,22003-3796,,40119.0,5498.0,
3674,232982,Old Dominion University,Norfolk,VA,23529,0.8572,19364.0,10050.0,
3675,233019,Patrick Henry Community College,Martinsville,VA,24112,,1481.0,4608.0,
3676,233037,Paul D Camp Community College,Franklin,VA,23851,,726.0,4588.0,
3677,233082,Southside College of Health Sciences,Colonial Heights,VA,23834,,110.0,14202.0,
3678,233091,Miller-Motte Technical College-Lynchburg,Lynchburg,VA,24502,,131.0,10820.0,
3679,233116,Piedmont Virginia Community College,Charlottesville,VA,22902-7589,,3369.0,4678.0,
3680,233277,Radford University,Radford,VA,24142,0.7432,8376.0,10627.0,
3681,233286,Sylvain Melloul International Hair Academy,Lynchburg,VA,24502-2652,,60.0,,
3682,233295,Randolph-Macon College,Ashland,VA,23005-5505,0.6223,1439.0,40000.0,
3683,233301,Randolph College,Lynchburg,VA,24503-1555,0.8644,651.0,38155.0,
3684,233310,Rappahannock Community College,Glenns,VA,23149-2616,,1508.0,4708.0,
3685,233329,Fortis College-Norfolk,Norfolk,VA,23502-4101,,229.0,15200.0,
3686,233338,Richard Bland College,South Prince George,VA,23805-7100,0.3292,882.0,7823.0,
3687,233356,Bon Secours Memorial College of Nursing,Richmond,VA,23227-1149,,477.0,,
3688,233374,University of Richmond,University of Richmond,VA,23173,0.3297,3165.0,50910.0,
3689,233408,Riverside College of Health Careers,Newport News,VA,23601,0.5455,336.0,15849.0,
3690,233426,Roanoke College,Salem,VA,24153-3794,0.6719,1990.0,42819.0,
3691,233480,Bon Secours St Mary's Hospital School of Medical Imaging,Richmond,VA,23227,,29.0,,
3692,233541,Shenandoah University,Winchester,VA,22601-5195,0.8325,2055.0,31920.0,
3693,233611,Southern Virginia University,Buena Vista,VA,24416,0.5616,877.0,15900.0,
3694,233639,Southside Virginia Community College,Alberta,VA,23821,,1579.0,4583.0,
3695,233648,Southwest Virginia Community College,Cedar Bluff,VA,24609,,1621.0,4591.0,
3696,233666,Staunton School of Cosmetology,Staunton,VA,24401-4323,,24.0,,
3697,233684,Strayer University-Virginia,Arlington,VA,22201,,4256.0,13857.0,
3698,233718,Sweet Briar College,Sweet Briar,VA,24595-9998,0.9279999999999999,281.0,37155.0,
3699,233754,Thomas Nelson Community College,Hampton,VA,23666,,6693.0,4679.0,
3700,233772,Tidewater Community College,Norfolk,VA,23510,,19516.0,5434.0,
3701,233842,Union Presbyterian Seminary,Richmond,VA,23227,,,,
3702,233897,The University of Virginia's College at Wise,Wise,VA,24293-4400,0.7751,1249.0,9825.0,
3703,233903,Virginia Highlands Community College,Abingdon,VA,24212-0828,,1493.0,4598.0,
3704,233921,Virginia Polytechnic Institute and State University,Blacksburg,VA,24061-0131,0.7006,27120.0,13230.0,
3705,233949,Virginia Western Community College,Roanoke,VA,24015,,4312.0,5228.0,
3706,234030,Virginia Commonwealth University,Richmond,VA,23284-2512,0.8390000000000001,22393.0,13624.0,
3707,234076,University of Virginia-Main Campus,Charlottesville,VA,22903-2628,0.2735,16207.0,16853.0,
3708,234085,Virginia Military Institute,Lexington,VA,24450-0304,0.5314,1722.0,18214.0,
3709,234119,Virginia School of Hair Design,Hampton,VA,23669,,21.0,,
3710,234137,Virginia University of Lynchburg,Lynchburg,VA,24501,,271.0,9800.0,
3711,234155,Virginia State University,Petersburg,VA,23806,0.9111,4265.0,8726.0,
3712,234164,Virginia Union University,Richmond,VA,23220,0.4392,1211.0,17448.0,
3713,234173,Virginia Wesleyan University,Virginia Beach,VA,23455,0.6988,1369.0,36660.0,
3714,234207,Washington and Lee University,Lexington,VA,24450-2116,0.22,1819.0,50170.0,
3715,234359,Wilson Workforce and Rehabilitation Center,Fishersville,VA,22939-1500,1.0,138.0,,
3716,234377,Wytheville Community College,Wytheville,VA,24382-3308,,1489.0,4613.0,
4010,246071,Career Technology Center of Lackawanna County,Scranton,PA,18508,,72.0,,
4039,248624,Fayette County Career & Technical Institute Practical Nursing Program,Uniontown,PA,15401,,90.0,,
4040,248633,Franklin County Career and Technology Center,Chambersburg,PA,17202,,88.0,,
4046,248934,ECPI University,Virginia Beach,VA,23462,0.7129,11512.0,15051.0,
4050,249609,Fortis Institute-Forty Fort,Forty Fort,PA,18704-2936,,159.0,15787.0,
4051,250027,Laurel Business Institute,Uniontown,PA,15401,0.8559,237.0,9914.0,
4052,250285,Aviation Institute of Maintenance-Philadelphia,Philadelphia,PA,19114-1018,,274.0,16757.0,
4057,251075,Brightwood Career Institute-Harrisburg,Harrisburg,PA,17111,,178.0,,
4062,260363,Greene County Career and Technology Center,Waynesburg,PA,15370-8281,,25.0,,
4079,261861,West Virginia Junior College-United Career Institute,Mount Braddock,PA,15465,,78.0,13170.0,
4100,363721,University of the District of Columbia-David A Clarke School of Law,Washington,DC,20008,,,,
4125,365383,Wilkes-Barre Area Career and Technical Center Practical Nursing,Wilkes Barre,PA,18705-0699,,110.0,,
4136,366252,Pennsylvania College of Technology,Williamsport,PA,17701-5799,,5419.0,16350.0,
4144,366438,Blades School of Hair Design,California,MD,20619,,72.0,,
4151,366632,Mercer County Career Center,Mercer,PA,16137,,31.0,,
4154,366793,Baptist Theological Seminary at Richmond,Henrico,VA,23228,,,,
4164,367431,Butler Beauty Academy-New Castle Beauty Academy,New Castle,PA,16101,,17.0,,
4175,368407,Western Area Career & Technology Center,Canonsburg,PA,15317,0.76,106.0,,
4193,369668,Central Pennsylvania Institute of Science and Technology,Pleasant Gap,PA,16823,,255.0,,
4225,373784,All-State Career-Baltimore,Baltimore,MD,21224,,561.0,,
4255,375939,YTI Career Institute-Altoona,Altoona,PA,16602,,172.0,,
4256,375966,Eastern Center for Arts and Technology,Willow Grove,PA,19090,0.8,59.0,,
4257,375984,Empire Beauty School-Center City Philadelphia,Philadelphia,PA,19102-2701,,317.0,,
4275,377449,Centura College-Newport News,Newport News,VA,23608,,179.0,15887.0,
4276,377458,Centura College-Norfolk,Norfolk,VA,23518-4833,,193.0,16337.0,
4277,377485,Virginia Beach City Public Schools School of Practical Nursing,Virginia Beach,VA,23456-2499,,26.0,,
4325,382957,Fortis College-Richmond,Richmond,VA,23230,,404.0,14359.0,
4335,383367,Greater Altoona Career & Technology Center,Altoona,PA,16602-3616,,234.0,,
4348,384412,University of the Potomac-Washington DC Campus,Washington,DC,20005,,65.0,13884.0,
4351,385503,Fortis Institute-Scranton,Scranton,PA,18509-2903,,287.0,27246.0,
4413,405872,Carroll Community College,Westminster,MD,21157,,2559.0,3907.0,
4419,406413,DCI Career Institute,Monaca,PA,15061,,39.0,,
4420,406422,Central Susquehanna Intermediate Unit LPN Career,Lewisburg,PA,17837,0.9733,101.0,,
4422,406495,Graham Webb International Academy of Hair,Arlington,VA,22209-2131,,71.0,,
4446,407629,Lake Erie College of Osteopathic Medicine,Erie,PA,16509-1025,,,,
4455,408729,Laurel Technical Institute,MEADVILLE,PA,16335,0.7792,96.0,9914.0,
4494,414540,Jean Madeline Aveda Institute,Philadelphia,PA,19147,,268.0,,
4499,414911,Pennsylvania Highlands Community College,Johnstown,PA,15904-2949,,1014.0,5670.0,
4502,415039,Empire Beauty School-Hanover,Hanover,PA,17331,,59.0,,
4535,417840,Prism Career Institute-Philadelphia,Philadelphia,PA,19152,,83.0,,
4562,418409,York County School of Technology-Adult & Continuing Education,York,PA,17402-4696,,104.0,,
4563,418427,Chester County Intermediate Unit,Downingtown,PA,19335,0.5532,104.0,,
4564,418445,Jefferson County Dubois Area Vocational Technical Practical Nursing Program,Reynoldsville,PA,15851,0.7895,24.0,,
4565,418454,Greater Johnstown Career and Technology Center,Johnstown,PA,15904-2998,,189.0,,
4566,418481,Mifflin County Academy of Science and Technology,Lewistown,PA,17044-1697,0.7667,39.0,,
4567,418515,Lenape Technical School Practical Nursing Program,Ford City,PA,16226,,168.0,,
4568,418524,Venango County Area Vocational Technical School,Oil City,PA,16301,0.625,61.0,,
4569,418533,Lancaster County Career and Technology Center,Willow Street,PA,17584,,422.0,,
4570,418542,Lebanon County Area Vocational Technical School,Lebanon,PA,17042,,165.0,,
4571,418560,Indiana County Technology Center,Indiana,PA,15701-1465,,95.0,,
4572,418588,Northern Tier Career Center,Towanda,PA,18848-9731,0.7619,41.0,,
4573,418603,Clarion County Career Center Practical Nursing Program,Shippenville,PA,16254-8975,0.7714,63.0,,
4574,418612,Hazleton Area Career Center,Hazle TWP.,PA,18202,,19.0,,
4575,418658,All-State Career School-Pittsburgh,West Mifflin,PA,15122,,189.0,,
4595,419332,Forbes Road Career and Technology Center,Monroeville,PA,15146,,5.0,,
4596,419341,Jna Institute of Culinary Arts,Philadelphia,PA,19146,,46.0,12725.0,
4599,419457,Argosy University-Northern Virginia,Arlington,VA,22209,,48.0,13438.0,
4600,419484,Crawford County Career and Technical Center Practical Nursing Program,Meadville,PA,16335,,28.0,,
4606,420024,Centura College-Chesapeake,Chesapeake,VA,23320,,190.0,16637.0,
4616,420370,Career Technical Institute,Washington,DC,20005,,387.0,,
4655,427894,CET-Alexandria,Alexandria,VA,22312,,114.0,,
4656,427973,Aviation Institute of Maintenance-Chesapeake,Chesapeake,VA,23320,,183.0,16757.0,
4657,427982,Centura College-Richmond Main,Richmond,VA,23235-5250,,98.0,16337.0,
4677,430184,Strayer University-Maryland,Suitland,MD,20746,,2286.0,13857.0,
4679,430227,Empire Beauty School-Monroeville,Monroeville,PA,15146-2229,,119.0,,
4681,430254,Cortiva Institute-Virginia,Charlottesville,VA,22901,,60.0,,
4682,430306,Cayce/Reilly School of Massage,Virginia Beach,VA,23451,,28.0,,
4693,430908,Clearfield County Career and Technology Center,Clearfield,PA,16830,,64.0,,
4695,430971,Delaware County Technical School-Practical Nursing Program,Broomall,PA,19008,1.0,43.0,,
4705,431266,Henrico County-Saint Marys Hospital School of Practical Nursing,Henrico,VA,23294,0.5962,93.0,,
4710,431600,UPMC Mercy School of Nursing,Pittsburgh,PA,15219-5166,0.8571,154.0,15315.0,
4726,432348,Appalachian School of Law,Grundy,VA,24614-2825,,,,
4729,432524,Delaware College of Art and Design,Wilmington,DE,19801-3007,0.79,143.0,25710.0,
4752,434308,Cortiva Institute-Baltimore,Linthicum,MD,21090,,458.0,,
4762,434672,Community College of Baltimore County,Baltimore,MD,21237,,17614.0,4022.0,
4769,434937,Yeshiva College of the Nations Capital,Silver  Spring,MD,20902,,25.0,10000.0,
4770,434973,University of Phoenix-Maryland,Columbia,MD,21045-5423,,29.0,,
4775,436030,Hair Academy II,Hillcrest Heights,MD,20748-1401,,234.0,,
4798,437097,University of Management and Technology,Arlington,VA,22209-1609,,840.0,9450.0,
4810,437769,Chester Career College,CHESTER,VA,23836,,181.0,,
4816,438212,McCann School of Business & Technology,Pottsville,PA,17901,,188.0,11005.0,
4817,438221,Platt College-McCann-Lewisburg,Lewisburg,PA,17837,,265.0,11346.0,
4822,438498,Stratford University,Fairfax,VA,22030,,1890.0,15135.0,
4825,438647,Altierus Career College-Chesapeake,Chesapeake,VA,23320-2639,,175.0,10407.0,
4844,439473,Bennett Career Institute,Washington,DC,20017,,312.0,,
4873,440174,Career Training Academy-Pittsburgh,Pittsburgh,PA,15229,,65.0,,
4874,440217,Huntingdon County Career and Technology Center,Mill Creek,PA,17060,,36.0,,
4880,440341,The Art Institute of Washington,Arlington,VA,22209-1802,,498.0,17590.0,
4908,441089,Wyotech-Blairsville,Blairsville,PA,15717-1301,,499.0,,
4917,441362,Harris School of Business-Wilmington Campus,Wilmington,DE,19803,,219.0,,
4935,441672,Susquehanna County Career and Technology Center,Springville,PA,18844,,66.0,,
4942,441858,Eastern Virginia Career College,Fredericksburg,VA,22408,,185.0,,
4943,441876,Rudy & Kelly Academy-A Paul Mitchell Partner School,Virginia Beach,VA,23464,,210.0,,
4950,442064,Won Institute of Graduate Studies,Glenside,PA,19038-4535,,,,
4959,442356,Pennsylvania College of Health Sciences,Lancaster,PA,17601,0.6658,1532.0,27568.0,
4970,442639,University of the Potomac-VA Campus,FALLS CHURCH,VA,22043-2536,,37.0,13884.0,
4975,442806,Edward Via College of Osteopathic Medicine,Blacksburg,VA,24060,,,,
5007,443377,Triangle Tech Inc-Sunbury,Sunbury,PA,17801,,76.0,16779.0,
5008,443395,McCann School of Business & Technology,Dickson City,PA,18519,,5.0,9720.0,
5025,443784,Strayer University-Pennsylvania,Trevose,PA,19053,,1788.0,13857.0,
5034,444103,Byzantine Catholic Seminary of Saints Cyril and Methodius,Pittsburgh,PA,15214-2229,,,,
5037,444200,Harris School of Business-Dover Campus,Dover,DE,19901,,226.0,,
5042,444282,Empire Beauty School-Midlothian,Midlothian,VA,23112,,65.0,,
5043,444291,Empire Beauty School-Owings Mills,Owings Mills,MD,21117,,93.0,,
5044,444307,Empire Beauty School-West Mifflin,West Mifflin,PA,15122,,86.0,,
5076,444811,PITC Institute,Wyncote,PA,19095,,216.0,,
5079,444893,Technical Learning Centers Inc,Washington,DC,20006-5540,,172.0,,
5114,445762,Aviation Institute of Maintenance-Manassas,Manassas,VA,20109,,203.0,16757.0,
5116,445799,Universal Technical Institute of Pennsylvania Inc,Exton,PA,19341,,1311.0,,
5119,445869,Divine Mercy University,Sterling,VA,20166,,,,
5133,446206,Culpeper Cosmetology Training Center,Culpeper,VA,22701-1055,,53.0,,
5143,446394,Maple Springs Baptist Bible College and Seminary,Capitol Heights,MD,20743,,36.0,,
5144,446455,Precision Manufacturing Institute,Meadville,PA,16335,,34.0,15662.0,
5154,446640,Harrisburg University of Science and Technology,Harrisburg,PA,17101-2208,,476.0,23900.0,
5159,446996,Chambersburg Beauty School,Chambersburg,PA,17201,,83.0,,
5209,447971,Hair Expressions Academy,Rockville,MD,20852,,103.0,,
5223,448257,Avi Career Training,Great Falls,VA,22066,,6.0,,
5240,448691,International Institute for Restorative Practices,Bethlehem,PA,18018,,,,
5246,448770,Automotive Training Center-Warminster,Warminster,PA,18974,,285.0,,
5249,448859,Triangle Tech Inc-Bethlehem,Bethlehem,PA,18017,,115.0,16779.0,
5275,449472,Delaware Learning Institute of Cosmetology,Dagsboro,DE,19939,,39.0,,
5296,449834,Virginia Beach Theological Seminary,Virginia Beach,VA,23464-6847,,1.0,8210.0,
5303,449922,Appalachian College of Pharmacy,Oakwood,VA,24631,,,,
5304,449931,Averett University-Non-Traditional Programs,Danville,VA,24541,0.56,344.0,10800.0,
5309,449995,Paul Mitchell the School-Tysons Corner,McLean,VA,22102,,209.0,,
5314,450076,Fortis Institute-Baltimore,Baltimore,MD,21244,,87.0,,
5322,450298,Strayer University-Delaware,Newark,DE,19713,,267.0,13857.0,
5328,450483,University of Phoenix-Washington DC,Washington,DC,20001-1431,,70.0,9960.0,
5333,450599,Empire Beauty School-Richmond,Richmond,VA,23294,,72.0,,
5334,450605,Empire Beauty School-North Hills,Pittsburgh,PA,15237,,74.0,,
5354,451051,Academy of Massage and Bodywork,Bear,DE,19701,,95.0,,
5381,451495,CDE Career Institute,Tannersville,PA,18372,,27.0,,
5391,451617,Dominion School of Hair Design,Gloucester Point,VA,23062,,17.0,,
5396,451662,The Art Institute of Pittsburgh-Online Division,Pittsburgh,PA,15222-4332,,2936.0,17014.0,
5408,451909,Fortis College-Landover,Landover,MD,20785-2223,,550.0,14335.0,
5473,455017,Frederick School of Cosmetology,Frederick,MD,21701,,23.0,,
5474,455026,Omega Studios' School of Applied Recording Arts & Sciences,Rockville,MD,20852,,103.0,,
5520,455804,Institute of World Politics,Washington,DC,20036,,,,
5521,455813,Pontifical John Paul II Institute for Studies on Marriage and Family,Washington,DC,20064,,,,
5529,455901,The Temple-A Paul Mitchell Partner School,Frederick,MD,21701,,183.0,,
5532,455947,Pulse Beauty Academy,Downington,PA,19335,,99.0,,
5536,455983,Columbia College,Vienna,VA,22182,,347.0,,
5559,456542,Geisinger Commonwealth School of Medicine,Scranton,PA,18509,,,,
5562,456579,Platt College-McCann-Allentown,Allentown,PA,18109,,568.0,11180.0,
5641,457943,Somerset County Technology Center,Somerset,PA,15501-4309,,70.0,,
5642,457952,Metro Beauty Academy,Allentown,PA,18106,,168.0,,
5654,458113,Bethel College,Hampton,VA,23666,,39.0,8100.0,
5655,458122,Institute of Advanced Medical Esthetics,Ashland,VA,23005-2111,,18.0,,
5672,458450,McCann School of Business & Technology,Carlisle,PA,17013,,84.0,9828.0,
5674,458496,The Art Institute of Virginia Beach,Virginia Beach,VA,23462,,370.0,17590.0,
5683,458830,Empire Beauty School-Springfield,Springfield,PA,19064,,133.0,,
5700,459082,Virginia Polytechnic Institute & State University,Roanoke,VA,24016-4950,,,,
5702,459107,Bryant & Stratton College-Hampton,Hampton,VA,23666,,302.0,17223.0,
5713,459259,South University-Richmond,Glen Allen,VA,23060,,504.0,17014.0,
5714,459268,South University-Virginia Beach,Virginia Beach,VA,23452,,452.0,17014.0,
5718,459301,Paul Mitchell the School-Delaware,Newark,DE,19702,,103.0,,
5739,459745,The Chicago School of Professional Psychology at Washington DC,Washington,DC,20005,,,,
5747,459994,Strayer University-Global Region,Washington,DC,20005,,5543.0,13857.0,
5766,460376,Fairfax University of America,Fairfax,VA,22030-0000,0.2353,67.0,9608.0,
5767,460385,Geisinger-Lewistown Hospital School of Nursing,Lewistown,PA,17044,0.4267,46.0,18142.0,
5779,460598,Harris School of Business-Upper Darby Campus,Upper Darby,PA,19082,,578.0,,
5798,460871,Chamberlain University-Virginia,Arlington,VA,22202,0.3333,501.0,19375.0,
5801,460923,Virginia College-Richmond,Richmond,VA,23225-5502,,440.0,,
5817,461193,Bella Capelli Academy,Monroeville,PA,15146-2388,,181.0,,
5818,461218,Institute of Medical Careers,Pittsburgh,PA,15235-3718,,159.0,,
5834,461379,Holistic Massage Training Institute,Baltimore,MD,21218,,59.0,,
5836,461412,Northern Virginia School of Therapeutic Massage,Falls Church,VA,22042-4302,,129.0,,
5839,461449,Cosmopolitan Beauty and Tech School,Annandale,VA,22003-3204,,115.0,,
5929,469586,Cortiva Institute-York,York,PA,17402-8046,,78.0,,
5947,474997,All-State Career School-Health Sciences,Essington,PA,19029,,355.0,16648.0,
5955,475194,Miller-Motte Technical College-Roanoke,Roanoke,VA,24018,,74.0,10660.0,
5999,476179,Empire Beauty School-Virginia Beach,Virginia Beach,VA,23462-6779,,146.0,,
6013,476568,Tomorrow's Image Barber And Beauty Academy of Virginia,Newport News,VA,23608-5532,,15.0,,
6016,476601,Bais HaMedrash and Mesivta of Baltimore,Baltimore,MD,21209-1613,1.0,76.0,12700.0,
6064,479248,Columbia College,Centreville,VA,20121,,151.0,,
6066,479956,Pennsylvania State University-World Campus,University Park,PA,16802-1503,0.6679,8108.0,13988.0,
6081,480134,Elizabethtown College School of Continuing and Professional Studies,Elizabethtown,PA,17022-2298,0.9286,328.0,,
6084,480189,Mercyhurst University-North East Campus,North East,PA,16428,,751.0,18450.0,
6088,480310,Empire Beauty School-Glen Burnie,Glen Burnie,MD,21061,,112.0,,
6089,480329,Altierus Career College-Woodbridge,Woodbridge,VA,22192-6808,,224.0,,
6099,480693,Columbia Institute,Silver Spring,MD,20906-4503,,95.0,,
6114,480930,Paul Mitchell the School-Woodbridge,Woodbridge,VA,22192,,126.0,,
6118,480994,Aspen Beauty Academy of Laurel,Laurel,MD,20724,,59.0,,
6120,481021,Berks Career & Technology Center,Leesport,PA,19533-9112,,39.0,,
6134,481207,Institute of Health Sciences,Hunt Valley,MD,21031-1408,,83.0,15150.0,
6160,481526,The Chrysm Insitute of Esthetics,Virginia Beach,VA,23462-2980,,126.0,,
6183,482103,Finger Lakes School of Massage,FREDERICK,MD,21703-3030,,32.0,,
6215,482608,DeVry University-Pennsylvania,Ft. Washington,PA,19034,1.0,338.0,17572.0,
6218,482653,DeVry University-Virginia,Arlington,VA,22202,0.7,227.0,17572.0,
6222,482927,McCann School of Business & Technology,Wilkes-Barre,PA,18702,,125.0,11640.0,
6233,483054,Barber School of Pittsburgh,Pittsburgh,PA,15220,,78.0,,
6243,483346,Divine Crown Barber & Beauty Academy,Harrisburg,PA,17110,,40.0,,
6263,483726,Luckes Beauty Academy LLC,Newport  News,VA,23601-1303,,32.0,,
6266,483753,Champ's Barber School,Lancaster,PA,17602-3809,,37.0,,
6267,483780,IGlobal University,Vienna,VA,22182-2734,,64.0,13820.0,
6269,483805,National Personal Training Institute,Vienna,VA,22182-2412,,57.0,,
6270,483814,Standard Healthcare Services-College of Nursing,Falls Church,VA,22043,0.4653,351.0,,
6271,483823,Philadelphia Technician Training,Philadelphia,PA,19138-1324,,171.0,,
6331,484765,University of Phoenix-Virginia,Virginia Beach,VA,23462,,191.0,9840.0,
6332,484783,University of Phoenix-Pennsylvania,Philadelphia,PA,19103,,141.0,9960.0,
6338,484923,Dermal Science International Aesthetics and Nail Academy,Reston,VA,20190,,75.0,,
6349,485236,Fountain of Youth Academy of Cosmetology,Mars,PA,16046,,36.0,,
6360,485397,Empire Beauty School-Cheltenham,Wyncote,PA,19095,,106.0,,
6383,485856,Studio Incamminati,Philadelphia,PA,19107-1105,1.0,36.0,12625.0,
6392,486105,Professional Academy of Cosmetology,Norristown,PA,19401-0000,,8.0,,
6413,486424,Saint Michael College of Allied Health,Alexandria,VA,22309-2348,,45.0,16300.0,
6426,486594,Wave Leadership College,Virginia Beach,VA,23454-2140,,52.0,7320.0,
6483,487676,The Temple Annapolis-A Paul Mitchell Partner School,Annapolis,MD,21401-3833,,176.0,,
6527,488262,Hair Academy School of Barbering & Beauty,Newark,DE,19713-2305,,33.0,,
6536,488369,Premier Barber Institute,Norristown,PA,19401-5163,,46.0,,
6592,490106,Virginia University of Integrative Medicine,Fairfax,VA,22031-5310,,,,
6607,490258,American Barber Academy,Reading,PA,19611-2040,,49.0,,
6626,490443,The Esthetic Institute,Vienna,VA,22182-3818,,147.0,,
